Year,Quintile,Income,Race,Dollar
1970,Top 5 percent,34180,White,Nominal
1969,Lowest fifth,2090,White,Nominal
1969,Second fifth,5598,White,Nominal
1969,Middle fifth,8716,White,Nominal
1969,Fourth fifth,12030,White,Nominal
1969,Highest fifth,21060,White,Nominal
1969,Top 5 percent,32540,White,Nominal
1968,Lowest fifth,1949,White,Nominal
1968,Second fifth,5188,White,Nominal
1968,Middle fifth,8003,White,Nominal
1968,Fourth fifth,11020,White,Nominal
1968,Highest fifth,19060,White,Nominal
1968,Top 5 percent,29240,White,Nominal
1967,Lowest fifth,1721,White,Nominal
1967,Second fifth,4761,White,Nominal
1967,Middle fifth,7382,White,Nominal
1967,Fourth fifth,10190,White,Nominal
1967,Highest fifth,18230,White,Nominal
1967,Top 5 percent,28770,White,Nominal
2022,Lowest fifth,18320,White (Non-Hispanic),Nominal
2022,Second fifth,48180,White (Non-Hispanic),Nominal
2022,Middle fifth,81500,White (Non-Hispanic),Nominal
2022,Fourth fifth,128700,White (Non-Hispanic),Nominal
2022,Highest fifth,293300,White (Non-Hispanic),Nominal
2022,Top 5 percent,528400,White (Non-Hispanic),Nominal
2021,Lowest fifth,17270,White (Non-Hispanic),Nominal
2021,Second fifth,45870,White (Non-Hispanic),Nominal
2021,Middle fifth,78360,White (Non-Hispanic),Nominal
2021,Fourth fifth,125100,White (Non-Hispanic),Nominal
2021,Highest fifth,287200,White (Non-Hispanic),Nominal
2021,Top 5 percent,511600,White (Non-Hispanic),Nominal
2020,Lowest fifth,17060,White (Non-Hispanic),Nominal
2020,Second fifth,44520,White (Non-Hispanic),Nominal
2020,Middle fifth,75510,White (Non-Hispanic),Nominal
2020,Fourth fifth,119800,White (Non-Hispanic),Nominal
2020,Highest fifth,270000,White (Non-Hispanic),Nominal
2020,Top 5 percent,473800,White (Non-Hispanic),Nominal
2019,Lowest fifth,17810,White (Non-Hispanic),Nominal
2019,Second fifth,45660,White (Non-Hispanic),Nominal
2019,Middle fifth,76250,White (Non-Hispanic),Nominal
2019,Fourth fifth,120600,White (Non-Hispanic),Nominal
2019,Highest fifth,273000,White (Non-Hispanic),Nominal
2019,Top 5 percent,485600,White (Non-Hispanic),Nominal
2018,Lowest fifth,16420,White (Non-Hispanic),Nominal
2018,Second fifth,42460,White (Non-Hispanic),Nominal
2018,Middle fifth,70810,White (Non-Hispanic),Nominal
2018,Fourth fifth,110600,White (Non-Hispanic),Nominal
2018,Highest fifth,251000,White (Non-Hispanic),Nominal
2018,Top 5 percent,446400,White (Non-Hispanic),Nominal
2017,Lowest fifth,16420,White (Non-Hispanic),Nominal
2017,Second fifth,42460,White (Non-Hispanic),Nominal
2017,Middle fifth,70810,White (Non-Hispanic),Nominal
2017,Fourth fifth,110600,White (Non-Hispanic),Nominal
2017,Highest fifth,251000,White (Non-Hispanic),Nominal
2017,Top 5 percent,446400,White (Non-Hispanic),Nominal
2016,Lowest fifth,15170,White (Non-Hispanic),Nominal
2016,Second fifth,38710,White (Non-Hispanic),Nominal
2016,Middle fifth,65240,White (Non-Hispanic),Nominal
2016,Fourth fifth,103300,White (Non-Hispanic),Nominal
2016,Highest fifth,226400,White (Non-Hispanic),Nominal
2016,Top 5 percent,392200,White (Non-Hispanic),Nominal
2015,Lowest fifth,14810,White (Non-Hispanic),Nominal
2015,Second fifth,36980,White (Non-Hispanic),Nominal
2015,Middle fifth,63390,White (Non-Hispanic),Nominal
2015,Fourth fifth,100100,White (Non-Hispanic),Nominal
2015,Highest fifth,212600,White (Non-Hispanic),Nominal
2015,Top 5 percent,364400,White (Non-Hispanic),Nominal
2014,Lowest fifth,13630,White (Non-Hispanic),Nominal
2014,Second fifth,35140,White (Non-Hispanic),Nominal
2014,Middle fifth,60200,White (Non-Hispanic),Nominal
2014,Fourth fifth,95810,White (Non-Hispanic),Nominal
2014,Highest fifth,207500,White (Non-Hispanic),Nominal
2014,Top 5 percent,354300,White (Non-Hispanic),Nominal
2013,Lowest fifth,13705,White (Non-Hispanic),Nominal
2013,Second fifth,34965,White (Non-Hispanic),Nominal
2013,Middle fifth,59285,White (Non-Hispanic),Nominal
2013,Fourth fifth,92240,White (Non-Hispanic),Nominal
2013,Highest fifth,201200,White (Non-Hispanic),Nominal
2013,Top 5 percent,346550,White (Non-Hispanic),Nominal
2012,Lowest fifth,13730,White (Non-Hispanic),Nominal
2012,Second fifth,33750,White (Non-Hispanic),Nominal
2012,Middle fifth,57130,White (Non-Hispanic),Nominal
2012,Fourth fifth,89360,White (Non-Hispanic),Nominal
2012,Highest fifth,195300,White (Non-Hispanic),Nominal
2012,Top 5 percent,342900,White (Non-Hispanic),Nominal
2011,Lowest fifth,13410,White (Non-Hispanic),Nominal
2011,Second fifth,33120,White (Non-Hispanic),Nominal
2011,Middle fifth,55480,White (Non-Hispanic),Nominal
2011,Fourth fifth,87240,White (Non-Hispanic),Nominal
2011,Highest fifth,191100,White (Non-Hispanic),Nominal
2011,Top 5 percent,334400,White (Non-Hispanic),Nominal
2010,Lowest fifth,13040,White (Non-Hispanic),Nominal
2010,Second fifth,32310,White (Non-Hispanic),Nominal
2010,Middle fifth,54600,White (Non-Hispanic),Nominal
2010,Fourth fifth,85710,White (Non-Hispanic),Nominal
2010,Highest fifth,181000,White (Non-Hispanic),Nominal
2010,Top 5 percent,307500,White (Non-Hispanic),Nominal
2009,Lowest fifth,13540,White (Non-Hispanic),Nominal
2009,Second fifth,32880,White (Non-Hispanic),Nominal
2009,Middle fifth,54520,White (Non-Hispanic),Nominal
2009,Fourth fifth,84920,White (Non-Hispanic),Nominal
2009,Highest fifth,180300,White (Non-Hispanic),Nominal
2009,Top 5 percent,310000,White (Non-Hispanic),Nominal
2008,Lowest fifth,13550,White (Non-Hispanic),Nominal
2008,Second fifth,33050,White (Non-Hispanic),Nominal
2008,Middle fifth,55600,White (Non-Hispanic),Nominal
2008,Fourth fifth,86120,White (Non-Hispanic),Nominal
2008,Highest fifth,182200,White (Non-Hispanic),Nominal
2008,Top 5 percent,314500,White (Non-Hispanic),Nominal
2007,Lowest fifth,13380,White (Non-Hispanic),Nominal
2007,Second fifth,32900,White (Non-Hispanic),Nominal
2007,Middle fifth,54970,White (Non-Hispanic),Nominal
2007,Fourth fifth,85630,White (Non-Hispanic),Nominal
2007,Highest fifth,179000,White (Non-Hispanic),Nominal
2007,Top 5 percent,306100,White (Non-Hispanic),Nominal
2006,Lowest fifth,13130,White (Non-Hispanic),Nominal
2006,Second fifth,31990,White (Non-Hispanic),Nominal
2006,Middle fifth,52920,White (Non-Hispanic),Nominal
2006,Fourth fifth,82360,White (Non-Hispanic),Nominal
2006,Highest fifth,178300,White (Non-Hispanic),Nominal
2006,Top 5 percent,315200,White (Non-Hispanic),Nominal
2005,Lowest fifth,12370,White (Non-Hispanic),Nominal
2005,Second fifth,30560,White (Non-Hispanic),Nominal
2005,Middle fifth,50810,White (Non-Hispanic),Nominal
2005,Fourth fifth,78510,White (Non-Hispanic),Nominal
2005,Highest fifth,170800,White (Non-Hispanic),Nominal
2005,Top 5 percent,303500,White (Non-Hispanic),Nominal
2004,Lowest fifth,11800,White (Non-Hispanic),Nominal
2004,Second fifth,29070,White (Non-Hispanic),Nominal
2004,Middle fifth,48830,White (Non-Hispanic),Nominal
2004,Fourth fifth,75510,White (Non-Hispanic),Nominal
2004,Highest fifth,161100,White (Non-Hispanic),Nominal
2004,Top 5 percent,281400,White (Non-Hispanic),Nominal
2003,Lowest fifth,11560,White (Non-Hispanic),Nominal
2003,Second fifth,28620,White (Non-Hispanic),Nominal
2003,Middle fifth,47850,White (Non-Hispanic),Nominal
2003,Fourth fifth,74350,White (Non-Hispanic),Nominal
2003,Highest fifth,157100,White (Non-Hispanic),Nominal
2003,Top 5 percent,272800,White (Non-Hispanic),Nominal
2002,Lowest fifth,11420,White (Non-Hispanic),Nominal
2002,Second fifth,28130,White (Non-Hispanic),Nominal
2002,Middle fifth,46970,White (Non-Hispanic),Nominal
2002,Fourth fifth,72270,White (Non-Hispanic),Nominal
2002,Highest fifth,151800,White (Non-Hispanic),Nominal
2002,Top 5 percent,264900,White (Non-Hispanic),Nominal
2001,Lowest fifth,11460,White (Non-Hispanic),Nominal
2001,Second fifth,27940,White (Non-Hispanic),Nominal
2001,Middle fifth,46320,White (Non-Hispanic),Nominal
2001,Fourth fifth,71480,White (Non-Hispanic),Nominal
2001,Highest fifth,155000,White (Non-Hispanic),Nominal
2001,Top 5 percent,277400,White (Non-Hispanic),Nominal
2000,Lowest fifth,11370,White (Non-Hispanic),Nominal
2000,Second fifth,27710,White (Non-Hispanic),Nominal
2000,Middle fifth,45660,White (Non-Hispanic),Nominal
2000,Fourth fifth,70010,White (Non-Hispanic),Nominal
2000,Highest fifth,150500,White (Non-Hispanic),Nominal
2000,Top 5 percent,268000,White (Non-Hispanic),Nominal
1999,Lowest fifth,11330,White (Non-Hispanic),Nominal
1999,Second fifth,26850,White (Non-Hispanic),Nominal
1999,Middle fifth,44220,White (Non-Hispanic),Nominal
1999,Fourth fifth,67520,White (Non-Hispanic),Nominal
1999,Highest fifth,143000,White (Non-Hispanic),Nominal
1999,Top 5 percent,250600,White (Non-Hispanic),Nominal
1998,Lowest fifth,10810,White (Non-Hispanic),Nominal
1998,Second fifth,26090,White (Non-Hispanic),Nominal
1998,Middle fifth,42740,White (Non-Hispanic),Nominal
1998,Fourth fifth,64520,White (Non-Hispanic),Nominal
1998,Highest fifth,135600,White (Non-Hispanic),Nominal
1998,Top 5 percent,237900,White (Non-Hispanic),Nominal
1997,Lowest fifth,10250,White (Non-Hispanic),Nominal
1997,Second fifth,24660,White (Non-Hispanic),Nominal
1997,Middle fifth,40620,White (Non-Hispanic),Nominal
1997,Fourth fifth,61710,White (Non-Hispanic),Nominal
1997,Highest fifth,130600,White (Non-Hispanic),Nominal
1997,Top 5 percent,230800,White (Non-Hispanic),Nominal
1996,Lowest fifth,9965,White (Non-Hispanic),Nominal
1996,Second fifth,23630,White (Non-Hispanic),Nominal
1996,Middle fifth,38780,White (Non-Hispanic),Nominal
1996,Fourth fifth,58590,White (Non-Hispanic),Nominal
1996,Highest fifth,121400,White (Non-Hispanic),Nominal
1996,Top 5 percent,210800,White (Non-Hispanic),Nominal
1995,Lowest fifth,9770,White (Non-Hispanic),Nominal
1995,Second fifth,22960,White (Non-Hispanic),Nominal
1995,Middle fifth,37260,White (Non-Hispanic),Nominal
1995,Fourth fifth,56060,White (Non-Hispanic),Nominal
1995,Highest fifth,115200,White (Non-Hispanic),Nominal
1995,Top 5 percent,197900,White (Non-Hispanic),Nominal
1994,Lowest fifth,8971,White (Non-Hispanic),Nominal
1994,Second fifth,21450,White (Non-Hispanic),Nominal
1994,Middle fifth,35160,White (Non-Hispanic),Nominal
1994,Fourth fifth,53620,White (Non-Hispanic),Nominal
1994,Highest fifth,111700,White (Non-Hispanic),Nominal
1994,Top 5 percent,194000,White (Non-Hispanic),Nominal
1993,Lowest fifth,8615,White (Non-Hispanic),Nominal
1993,Second fifth,20950,White (Non-Hispanic),Nominal
1993,Middle fifth,34200,White (Non-Hispanic),Nominal
1993,Fourth fifth,51800,White (Non-Hispanic),Nominal
1993,Highest fifth,106600,White (Non-Hispanic),Nominal
1993,Top 5 percent,183100,White (Non-Hispanic),Nominal
1992,Lowest fifth,8518,White (Non-Hispanic),Nominal
1992,Second fifth,20440,White (Non-Hispanic),Nominal
1992,Middle fifth,33380,White (Non-Hispanic),Nominal
1992,Fourth fifth,50090,White (Non-Hispanic),Nominal
1992,Highest fifth,95700,White (Non-Hispanic),Nominal
1992,Top 5 percent,152000,White (Non-Hispanic),Nominal
1991,Lowest fifth,8434,White (Non-Hispanic),Nominal
1991,Second fifth,20170,White (Non-Hispanic),Nominal
1991,Middle fifth,32540,White (Non-Hispanic),Nominal
1991,Fourth fifth,48660,White (Non-Hispanic),Nominal
1991,Highest fifth,92060,White (Non-Hispanic),Nominal
1991,Top 5 percent,143600,White (Non-Hispanic),Nominal
1990,Lowest fifth,8344,White (Non-Hispanic),Nominal
1990,Second fifth,19990,White (Non-Hispanic),Nominal
1990,Middle fifth,31980,White (Non-Hispanic),Nominal
1990,Fourth fifth,47470,White (Non-Hispanic),Nominal
1990,Highest fifth,91080,White (Non-Hispanic),Nominal
1990,Top 5 percent,145300,White (Non-Hispanic),Nominal
1989,Lowest fifth,8105,White (Non-Hispanic),Nominal
1989,Second fifth,19270,White (Non-Hispanic),Nominal
1989,Middle fifth,31080,White (Non-Hispanic),Nominal
1989,Fourth fifth,46100,White (Non-Hispanic),Nominal
1989,Highest fifth,89470,White (Non-Hispanic),Nominal
1989,Top 5 percent,144900,White (Non-Hispanic),Nominal
1988,Lowest fifth,7557,White (Non-Hispanic),Nominal
1988,Second fifth,18250,White (Non-Hispanic),Nominal
1988,Middle fifth,29520,White (Non-Hispanic),Nominal
1988,Fourth fifth,43550,White (Non-Hispanic),Nominal
1988,Highest fifth,82090,White (Non-Hispanic),Nominal
1988,Top 5 percent,129400,White (Non-Hispanic),Nominal
1987,Lowest fifth,7159,White (Non-Hispanic),Nominal
1987,Second fifth,17420,White (Non-Hispanic),Nominal
1987,Middle fifth,28220,White (Non-Hispanic),Nominal
1987,Fourth fifth,41590,White (Non-Hispanic),Nominal
1987,Highest fifth,77890,White (Non-Hispanic),Nominal
1987,Top 5 percent,122600,White (Non-Hispanic),Nominal
1986,Lowest fifth,6664,White (Non-Hispanic),Nominal
1986,Second fifth,16500,White (Non-Hispanic),Nominal
1986,Middle fifth,26790,White (Non-Hispanic),Nominal
1986,Fourth fifth,39490,White (Non-Hispanic),Nominal
1986,Highest fifth,73940,White (Non-Hispanic),Nominal
1986,Top 5 percent,116100,White (Non-Hispanic),Nominal
1985,Lowest fifth,6379,White (Non-Hispanic),Nominal
1985,Second fifth,15740,White (Non-Hispanic),Nominal
1985,Middle fifth,25380,White (Non-Hispanic),Nominal
1985,Fourth fifth,37430,White (Non-Hispanic),Nominal
1985,Highest fifth,69310,White (Non-Hispanic),Nominal
1985,Top 5 percent,107100,White (Non-Hispanic),Nominal
1984,Lowest fifth,6215,White (Non-Hispanic),Nominal
1984,Second fifth,14990,White (Non-Hispanic),Nominal
1984,Middle fifth,24090,White (Non-Hispanic),Nominal
1984,Fourth fifth,35540,White (Non-Hispanic),Nominal
1984,Highest fifth,64630,White (Non-Hispanic),Nominal
1984,Top 5 percent,97480,White (Non-Hispanic),Nominal
1983,Lowest fifth,5811,White (Non-Hispanic),Nominal
1983,Second fifth,14050,White (Non-Hispanic),Nominal
1983,Middle fifth,22530,White (Non-Hispanic),Nominal
1983,Fourth fifth,33140,White (Non-Hispanic),Nominal
1983,Highest fifth,60220,White (Non-Hispanic),Nominal
1983,Top 5 percent,91020,White (Non-Hispanic),Nominal
1982,Lowest fifth,5408,White (Non-Hispanic),Nominal
1982,Second fifth,13350,White (Non-Hispanic),Nominal
1982,Middle fifth,21440,White (Non-Hispanic),Nominal
1982,Fourth fifth,31350,White (Non-Hispanic),Nominal
1982,Highest fifth,56870,White (Non-Hispanic),Nominal
1982,Top 5 percent,85640,White (Non-Hispanic),Nominal
1981,Lowest fifth,5172,White (Non-Hispanic),Nominal
1981,Second fifth,12550,White (Non-Hispanic),Nominal
1981,Middle fifth,20320,White (Non-Hispanic),Nominal
1981,Fourth fifth,29650,White (Non-Hispanic),Nominal
1981,Highest fifth,52510,White (Non-Hispanic),Nominal
1981,Top 5 percent,78010,White (Non-Hispanic),Nominal
1980,Lowest fifth,4845,White (Non-Hispanic),Nominal
1980,Second fifth,11780,White (Non-Hispanic),Nominal
1980,Middle fifth,18920,White (Non-Hispanic),Nominal
1980,Fourth fifth,27290,White (Non-Hispanic),Nominal
1980,Highest fifth,48180,White (Non-Hispanic),Nominal
1980,Top 5 percent,71920,White (Non-Hispanic),Nominal
1979,Lowest fifth,4452,White (Non-Hispanic),Nominal
1979,Second fifth,10860,White (Non-Hispanic),Nominal
1979,Middle fifth,17490,White (Non-Hispanic),Nominal
1979,Fourth fifth,25160,White (Non-Hispanic),Nominal
1979,Highest fifth,44850,White (Non-Hispanic),Nominal
1979,Top 5 percent,68460,White (Non-Hispanic),Nominal
1978,Lowest fifth,4055,White (Non-Hispanic),Nominal
1978,Second fifth,9805,White (Non-Hispanic),Nominal
1978,Middle fifth,15870,White (Non-Hispanic),Nominal
1978,Fourth fifth,22810,White (Non-Hispanic),Nominal
1978,Highest fifth,40490,White (Non-Hispanic),Nominal
1978,Top 5 percent,61850,White (Non-Hispanic),Nominal
1977,Lowest fifth,3637,White (Non-Hispanic),Nominal
1977,Second fifth,8953,White (Non-Hispanic),Nominal
1977,Middle fifth,14480,White (Non-Hispanic),Nominal
1977,Fourth fifth,20810,White (Non-Hispanic),Nominal
1977,Highest fifth,36790,White (Non-Hispanic),Nominal
1977,Top 5 percent,56470,White (Non-Hispanic),Nominal
1976,Lowest fifth,3466,White (Non-Hispanic),Nominal
1976,Second fifth,8407,White (Non-Hispanic),Nominal
1976,Middle fifth,13510,White (Non-Hispanic),Nominal
1976,Fourth fifth,19250,White (Non-Hispanic),Nominal
1976,Highest fifth,33850,White (Non-Hispanic),Nominal
1976,Top 5 percent,51740,White (Non-Hispanic),Nominal
1975,Lowest fifth,3184,White (Non-Hispanic),Nominal
1975,Second fifth,7762,White (Non-Hispanic),Nominal
1975,Middle fifth,12440,White (Non-Hispanic),Nominal
1975,Fourth fifth,17770,White (Non-Hispanic),Nominal
1975,Highest fifth,31160,White (Non-Hispanic),Nominal
1975,Top 5 percent,47390,White (Non-Hispanic),Nominal
1974,Lowest fifth,3031,White (Non-Hispanic),Nominal
1974,Second fifth,7516,White (Non-Hispanic),Nominal
1974,Middle fifth,11800,White (Non-Hispanic),Nominal
1974,Fourth fifth,16790,White (Non-Hispanic),Nominal
1974,Highest fifth,29530,White (Non-Hispanic),Nominal
1974,Top 5 percent,44930,White (Non-Hispanic),Nominal
1973,Lowest fifth,2752,White (Non-Hispanic),Nominal
1973,Second fifth,6936,White (Non-Hispanic),Nominal
1973,Middle fifth,11100,White (Non-Hispanic),Nominal
1973,Fourth fifth,15720,White (Non-Hispanic),Nominal
1973,Highest fifth,27940,White (Non-Hispanic),Nominal
1973,Top 5 percent,43110,White (Non-Hispanic),Nominal
1972,Lowest fifth,2482,White (Non-Hispanic),Nominal
1972,Second fifth,6436,White (Non-Hispanic),Nominal
1972,Middle fifth,10240,White (Non-Hispanic),Nominal
1972,Fourth fifth,14420,White (Non-Hispanic),Nominal
1972,Highest fifth,25730,White (Non-Hispanic),Nominal
1972,Top 5 percent,39870,White (Non-Hispanic),Nominal
2022,Lowest fifth,13930,Hispanic,Nominal
2022,Second fifth,38210,Hispanic,Nominal
2022,Middle fifth,63180,Hispanic,Nominal
2022,Fourth fifth,96980,Hispanic,Nominal
2022,Highest fifth,213700,Hispanic,Nominal
2022,Top 5 percent,373900,Hispanic,Nominal
2021,Lowest fifth,12880,Hispanic,Nominal
2021,Second fifth,35600,Hispanic,Nominal
2021,Middle fifth,58240,Hispanic,Nominal
2021,Fourth fifth,92400,Hispanic,Nominal
2021,Highest fifth,205300,Hispanic,Nominal
2021,Top 5 percent,355300,Hispanic,Nominal
2020,Lowest fifth,13130,Hispanic,Nominal
2020,Second fifth,34050,Hispanic,Nominal
2020,Middle fifth,55620,Hispanic,Nominal
2020,Fourth fifth,86700,Hispanic,Nominal
2020,Highest fifth,186900,Hispanic,Nominal
2020,Top 5 percent,318100,Hispanic,Nominal
2019,Lowest fifth,13530,Hispanic,Nominal
2019,Second fifth,34760,Hispanic,Nominal
2019,Middle fifth,56290,Hispanic,Nominal
2019,Fourth fifth,87380,Hispanic,Nominal
2019,Highest fifth,183300,Hispanic,Nominal
2019,Top 5 percent,297800,Hispanic,Nominal
2018,Lowest fifth,12410,Hispanic,Nominal
2018,Second fifth,31420,Hispanic,Nominal
2018,Middle fifth,51430,Hispanic,Nominal
2018,Fourth fifth,79830,Hispanic,Nominal
2018,Highest fifth,179600,Hispanic,Nominal
2018,Top 5 percent,321700,Hispanic,Nominal
2017,Lowest fifth,12410,Hispanic,Nominal
2017,Second fifth,31420,Hispanic,Nominal
2017,Middle fifth,51430,Hispanic,Nominal
2017,Fourth fifth,79830,Hispanic,Nominal
2017,Highest fifth,179600,Hispanic,Nominal
2017,Top 5 percent,321700,Hispanic,Nominal
2016,Lowest fifth,11530,Hispanic,Nominal
2016,Second fifth,29560,Hispanic,Nominal
2016,Middle fifth,48110,Hispanic,Nominal
2016,Fourth fifth,75650,Hispanic,Nominal
2016,Highest fifth,169200,Hispanic,Nominal
2016,Top 5 percent,306400,Hispanic,Nominal
2015,Lowest fifth,10770,Hispanic,Nominal
2015,Second fifth,27240,Hispanic,Nominal
2015,Middle fifth,44930,Hispanic,Nominal
2015,Fourth fifth,71150,Hispanic,Nominal
2015,Highest fifth,164000,Hispanic,Nominal
2015,Top 5 percent,298000,Hispanic,Nominal
2014,Lowest fifth,10240,Hispanic,Nominal
2014,Second fifth,25870,Hispanic,Nominal
2014,Middle fifth,42810,Hispanic,Nominal
2014,Fourth fifth,67270,Hispanic,Nominal
2014,Highest fifth,141500,Hispanic,Nominal
2014,Top 5 percent,237200,Hispanic,Nominal
2013,Lowest fifth,9702.5,Hispanic,Nominal
2013,Second fifth,24610,Hispanic,Nominal
2013,Middle fifth,40225,Hispanic,Nominal
2013,Fourth fifth,64480,Hispanic,Nominal
2013,Highest fifth,141600,Hispanic,Nominal
2013,Top 5 percent,241550,Hispanic,Nominal
2012,Lowest fifth,9174,Hispanic,Nominal
2012,Second fifth,23760,Hispanic,Nominal
2012,Middle fifth,38990,Hispanic,Nominal
2012,Fourth fifth,61730,Hispanic,Nominal
2012,Highest fifth,133500,Hispanic,Nominal
2012,Top 5 percent,227100,Hispanic,Nominal
2011,Lowest fifth,9194,Hispanic,Nominal
2011,Second fifth,23860,Hispanic,Nominal
2011,Middle fifth,38540,Hispanic,Nominal
2011,Fourth fifth,60070,Hispanic,Nominal
2011,Highest fifth,130100,Hispanic,Nominal
2011,Top 5 percent,218100,Hispanic,Nominal
2010,Lowest fifth,8946,Hispanic,Nominal
2010,Second fifth,23070,Hispanic,Nominal
2010,Middle fifth,37880,Hispanic,Nominal
2010,Fourth fifth,60060,Hispanic,Nominal
2010,Highest fifth,127000,Hispanic,Nominal
2010,Top 5 percent,211900,Hispanic,Nominal
2009,Lowest fifth,9629,Hispanic,Nominal
2009,Second fifth,23540,Hispanic,Nominal
2009,Middle fifth,38270,Hispanic,Nominal
2009,Fourth fifth,60440,Hispanic,Nominal
2009,Highest fifth,129300,Hispanic,Nominal
2009,Top 5 percent,218400,Hispanic,Nominal
2008,Lowest fifth,9478,Hispanic,Nominal
2008,Second fifth,23720,Hispanic,Nominal
2008,Middle fifth,38010,Hispanic,Nominal
2008,Fourth fifth,59900,Hispanic,Nominal
2008,Highest fifth,126800,Hispanic,Nominal
2008,Top 5 percent,209600,Hispanic,Nominal
2007,Lowest fifth,9839,Hispanic,Nominal
2007,Second fifth,24040,Hispanic,Nominal
2007,Middle fifth,38610,Hispanic,Nominal
2007,Fourth fifth,59820,Hispanic,Nominal
2007,Highest fifth,121800,Hispanic,Nominal
2007,Top 5 percent,202600,Hispanic,Nominal
2006,Lowest fifth,9671,Hispanic,Nominal
2006,Second fifth,23610,Hispanic,Nominal
2006,Middle fifth,37930,Hispanic,Nominal
2006,Fourth fifth,57970,Hispanic,Nominal
2006,Highest fifth,123700,Hispanic,Nominal
2006,Top 5 percent,209800,Hispanic,Nominal
2005,Lowest fifth,9160,Hispanic,Nominal
2005,Second fifth,22390,Hispanic,Nominal
2005,Middle fifth,35890,Hispanic,Nominal
2005,Fourth fifth,54890,Hispanic,Nominal
2005,Highest fifth,113400,Hispanic,Nominal
2005,Top 5 percent,186600,Hispanic,Nominal
2004,Lowest fifth,8678,Hispanic,Nominal
2004,Second fifth,21390,Hispanic,Nominal
2004,Middle fifth,34270,Hispanic,Nominal
2004,Fourth fifth,52510,Hispanic,Nominal
2004,Highest fifth,112500,Hispanic,Nominal
2004,Top 5 percent,192900,Hispanic,Nominal
2003,Lowest fifth,8588,Hispanic,Nominal
2003,Second fifth,20970,Hispanic,Nominal
2003,Middle fifth,33270,Hispanic,Nominal
2003,Fourth fifth,51390,Hispanic,Nominal
2003,Highest fifth,108100,Hispanic,Nominal
2003,Top 5 percent,181400,Hispanic,Nominal
2002,Lowest fifth,8614,Hispanic,Nominal
2002,Second fifth,21010,Hispanic,Nominal
2002,Middle fifth,33320,Hispanic,Nominal
2002,Fourth fifth,51480,Hispanic,Nominal
2002,Highest fifth,110000,Hispanic,Nominal
2002,Top 5 percent,192300,Hispanic,Nominal
2001,Lowest fifth,8822,Hispanic,Nominal
2001,Second fifth,20850,Hispanic,Nominal
2001,Middle fifth,33620,Hispanic,Nominal
2001,Fourth fifth,51460,Hispanic,Nominal
2001,Highest fifth,107200,Hispanic,Nominal
2001,Top 5 percent,182100,Hispanic,Nominal
2000,Lowest fifth,8885,Hispanic,Nominal
2000,Second fifth,20740,Hispanic,Nominal
2000,Middle fifth,33290,Hispanic,Nominal
2000,Fourth fifth,50310,Hispanic,Nominal
2000,Highest fifth,106700,Hispanic,Nominal
2000,Top 5 percent,190100,Hispanic,Nominal
1999,Lowest fifth,8240,Hispanic,Nominal
1999,Second fifth,19240,Hispanic,Nominal
1999,Middle fifth,30670,Hispanic,Nominal
1999,Fourth fifth,47170,Hispanic,Nominal
1999,Highest fifth,96630,Hispanic,Nominal
1999,Top 5 percent,160400,Hispanic,Nominal
1998,Lowest fifth,6891,Hispanic,Nominal
1998,Second fifth,17120,Hispanic,Nominal
1998,Middle fifth,28350,Hispanic,Nominal
1998,Fourth fifth,43840,Hispanic,Nominal
1998,Highest fifth,95200,Hispanic,Nominal
1998,Top 5 percent,167900,Hispanic,Nominal
1997,Lowest fifth,6492,Hispanic,Nominal
1997,Second fifth,16040,Hispanic,Nominal
1997,Middle fifth,26660,Hispanic,Nominal
1997,Fourth fifth,41390,Hispanic,Nominal
1997,Highest fifth,88840,Hispanic,Nominal
1997,Top 5 percent,154300,Hispanic,Nominal
1996,Lowest fifth,6473,Hispanic,Nominal
1996,Second fifth,15210,Hispanic,Nominal
1996,Middle fifth,24910,Hispanic,Nominal
1996,Fourth fifth,39240,Hispanic,Nominal
1996,Highest fifth,84180,Hispanic,Nominal
1996,Top 5 percent,145900,Hispanic,Nominal
1995,Lowest fifth,5881,Hispanic,Nominal
1995,Second fifth,13910,Hispanic,Nominal
1995,Middle fifth,23030,Hispanic,Nominal
1995,Fourth fifth,36270,Hispanic,Nominal
1995,Highest fifth,76920,Hispanic,Nominal
1995,Top 5 percent,129900,Hispanic,Nominal
1994,Lowest fifth,5780,Hispanic,Nominal
1994,Second fifth,13740,Hispanic,Nominal
1994,Middle fifth,23380,Hispanic,Nominal
1994,Fourth fifth,36720,Hispanic,Nominal
1994,Highest fifth,78290,Hispanic,Nominal
1994,Top 5 percent,132700,Hispanic,Nominal
1993,Lowest fifth,5889,Hispanic,Nominal
1993,Second fifth,13790,Hispanic,Nominal
1993,Middle fifth,22900,Hispanic,Nominal
1993,Fourth fifth,35040,Hispanic,Nominal
1993,Highest fifth,73840,Hispanic,Nominal
1993,Top 5 percent,123800,Hispanic,Nominal
1992,Lowest fifth,5674,Hispanic,Nominal
1992,Second fifth,13560,Hispanic,Nominal
1992,Middle fifth,22590,Hispanic,Nominal
1992,Fourth fifth,34760,Hispanic,Nominal
1992,Highest fifth,67530,Hispanic,Nominal
1992,Top 5 percent,104100,Hispanic,Nominal
1991,Lowest fifth,5727,Hispanic,Nominal
1991,Second fifth,13620,Hispanic,Nominal
1991,Middle fifth,22770,Hispanic,Nominal
